Program Number,Program Title,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Types of Assistance,Date Published,Funded,POC Information
00.001,Agricultural Production Stabilization,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.002,Cooperative Forestry Research,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.003,Cooperative Extension Service,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.004,Economic Research Service,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.005,Farmers Home Administration_Financial Assistance to Small Towns and Rural Groups,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.006,Farmers Home Administration_Housing for Senior Citizens,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.007,Farm Forestry Loans,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.008,Farmers Home Administration_Loans for Recreational Purposes,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.009,Farmers Home Administration_Rural Renewal Loans to Public Agencies,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.010,Forestry Research,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.011,"Land Stabilization, Conservation, and Erosion Control in Appalachia","AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.012,Timber Development Organizations in Appalachia,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.013,Administration and Research in Economic Development Programs in Appalachia,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.014,Cropland Adjustment Program,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.015,"Payments to Counties, National Grasslands, and Land Utilization Projects","AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.016,Payments to States with National Forests,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.017,Appalachian Region Conservation,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.018,Agricultural Market Supervision and Regulation,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.019,Agricultural Experiment Stations,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.020,National Forests_Shared Revenues,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.021,Timber Management,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.022,Administration and Research in Economic Development Programs in Appalachia,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.023,Community Relations Service,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.024,Development of Ports,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.025,Economic Development Districts,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.026,Grants and Loans for Public Works and Development Facilities,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.027,Gross National Product Estimates,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.028,Highway Beautification,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.029,Highway Planning and Construction,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.030,Industry and Commodity Information,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.031,Regional Action Planning Commissions,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.032,State Technical Services Program,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.033,Supplemental Grants-in-Aid for Appalachia,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,,
00.034,Drainage Improvement,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.035,"Flood, Hurricane or Abnormal Tide Protection",DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.036,Health Benefits for Uniformed Military Servicemen and Dependents,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.037,Hydroelectric Power Development,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.038,Information and Guidance on Flood Hazards,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.039,Military Support of Community Projects,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.040,Navigation in Rivers and Harbors,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.041,Nuclear Disaster Planning and Survival,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.042,Recreation Facilities at Federal Water Resources Projects,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.043,Water Quality Control,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.044,Water Resources Development Program,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.045,Water Resources Investigation,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.046,Water Supply,DEPT OF DEFENSE,,,"Jun 21, 2004",,,,
00.047,Arts and Humanities Institutes,,,,"Jun 21, 2004",,,,
00.048,Disaster Assistance for Public Schools,,,,"Jun 21, 2004",,,,
00.049,Chronic Diseases and Health Problems of the Aged,,,,"Jun 21, 2004",,,,
00.050,Community Health Services for Chronically Ill and Aged,,,,"Jun 21, 2004",,,,
00.051,Community Immunization Program,,,,"Jun 21, 2004",,,,
00.052,Comprehensive Planning for Vocational Rehabilitation Services,,,,"Jun 21, 2004",,,,
00.053,Construction of Sewage Treatment Works in Appalachia,,,,"Jun 21, 2004",,,,
00.054,Consumer Education,,,,"Jun 21, 2004",,,,
00.055,Comprehensive Health Planning_Grants to States,,,,"Jun 21, 2004",,,,
00.056,Consumer Health Protection,,,,"Jun 21, 2004",,,,
00.057,Cooperative Research Program,,,,"Jun 21, 2004",,,,
00.058,Correctional Rehabilitation Study Program,,,,"Jun 21, 2004",,,,
00.059,Counseling and Guidance Institutes,,,,"Jun 21, 2004",,,,
00.060,Dental Health Programs in Communities,,,,"Jun 21, 2004",,,,
00.061,Comprehensive Health Planning,,,,"Jun 21, 2004",,,,
00.062,Development and Expansion of Community Mental Health Programs,,,,"Jun 21, 2004",,,,
00.063,Disaster Relief for Public Institutions of Higher Education,,,,"Jun 21, 2004",,,,
00.064,Drug Abuse Control,,,,"Jun 21, 2004",,,,
00.065,Educational Advisory Services and Data,,,,"Jun 21, 2004",,,,
00.066,Education and Training Facilities to Obtain Employment in Appalachian Region,,,,"Jun 21, 2004",,,,
00.067,Educationally Deprived Children,,,,"Jun 21, 2004",,,,
00.068,Educational Assistance for Federally Affected Areas,,,,"Jun 21, 2004",,,,
00.069,Environmental Engineering and Food Protection,,,,"Jun 21, 2004",,,,
00.070,Equipment to Improve Undergraduate Instruction,,,,"Jun 21, 2004",,,,
00.071,Environmental Sanitation,,,,"Jun 21, 2004",,,,
00.072,Faculty Development Programs in Educational Media,,,,"Jun 21, 2004",,,,
00.073,"Federal Credit Union Charter, Examination and Supervision",,,,"Jun 21, 2004",,,,
00.074,"Federal, State, and Private Programs of Low Interest Loans to Students in Institutions of Higher Education",,,,"Jun 21, 2004",,,,
00.075,Fellowships for Teachers,,,,"Jun 21, 2004",,,,
00.076,Full Utilization of Educational Talent,,,,"Jun 21, 2004",,,,
00.077,Grants for Improving State Hospitals for the Mentally Retarded,,,,"Jun 21, 2004",,,,
00.078,Grants for Public Health Practice and Research,,,,"Jun 21, 2004",,,,
00.079,Grants to State Educational Agencies to Improve Statistical Services,,,,"Jun 21, 2004",,,,
00.080,Handicapped Children_Assistance to State Schools,,,,"Jun 21, 2004",,,,
00.081,Handicapped Children and Youth Research and Demonstration,,,,"Jun 21, 2004",,,,
00.082,Appalachia Regional Development_Demonstration Health Facilities,,,,"Jun 21, 2004",,,,
00.083,Health Manpower Education and Utilization_Institutional Support,,,,"Jun 21, 2004",,,,
00.084,Health Referral Services for Armed Forces Medical Rejectees,,,,"Jun 21, 2004",,,,
00.085,Health Research Facilities and Resources_Construction,,,,"Jun 21, 2004",,,,
00.086,Injury Control,,,,"Jun 21, 2004",,,,
00.087,Institutes for Advanced Study,,,,"Jun 21, 2004",,,,
00.088,Institutes for Teachers of Disadvantaged Youth_National Program,,,,"Jun 21, 2004",,,,
00.089,Institutional Assistance Grant Program,,,,"Jun 21, 2004",,,,
00.090,Instructional Equipment Program,,,,"Jun 21, 2004",,,,
00.091,Intensive Community Immunization Program,,,,"Jun 21, 2004",,,,
00.092,Juvenile Delinquency Prevention and Control,,,,"Jun 21, 2004",,,,
00.093,Low Interest Loans to Students in Institutions of Higher Education,,,,"Jun 21, 2004",,,,
00.094,Medical Assistance to the Aged_Kerr-Mills Program,,,,"Jun 21, 2004",,,,
00.095,Medical Library Assistance,,,,"Jun 21, 2004",,,,
00.096,Mental Health Centers in Communities,,,,"Jun 21, 2004",,,,
00.097,Mental Health_Research and Training,,,,"Jun 21, 2004",,,,
00.098,Mental Retardation,,,,"Jun 21, 2004",,,,
00.099,Mental Retardation_Research Centers,,,,"Jun 21, 2004",,,,
00.100,Mental Retardation_University Affiliated Clinical Facilities,,,,"Jun 21, 2004",,,,
00.101,Narcotic Drug Problems,,,,"Jun 21, 2004",,,,
00.102,National Technical Institute for the Deaf,,,,"Jun 21, 2004",,,,
00.103,National Vocational Student Loan Insurance,,,,"Jun 21, 2004",,,,
00.104,New Media Research,,,,"Jun 21, 2004",,,,
00.105,Project Support for Handicapped Individuals,,,,"Jun 21, 2004",,,,
00.106,Health of School and Preschool Children Projects,,,,"Jun 21, 2004",,,,
00.107,Prospective Teacher Fellowship Program,,,,"Jun 21, 2004",,,,
00.108,Public Health Training_Traineeships,,,,"Jun 21, 2004",,,,
00.109,Surplus Property Utilization,,,,"Jun 21, 2004",,,,
00.110,Cuban Refugee Program,,,,"Jun 21, 2004",,,,
00.111,Research and Demonstration Projects_Social Welfare and Social Security,,,,"Jun 21, 2004",,,,
00.112,Research Training,,,,"Jun 21, 2004",,,,
00.113,Science Youth Activities,,,,"Jun 21, 2004",,,,
00.114,Social Security_Retirement and Survivors Insurance,,,,"Jun 21, 2004",,,,
00.115,Strengthening Instruction in the Humanities and the Arts,,,,"Jun 21, 2004",,,,
00.116,Strengthening State Departments of Education,,,,"Jun 21, 2004",,,,
00.117,Educational Materials for the Blind,,,,"Jun 21, 2004",,,,
00.118,Training of Professional Personnel for Care of Crippled Children,,,,"Jun 21, 2004",,,,
00.119,Narcotic Addict_Clinical Centers,,,,"Jun 21, 2004",,,,
00.120,Tuberculosis Special Project Grants,,,,"Jun 21, 2004",,,,
00.121,Veneral Disease Project Grants,,,,"Jun 21, 2004",,,,
00.122,Vocational Education in Specified Occupational Areas,,,,"Jun 21, 2004",,,,
00.123,Vocational Rehabilitation Research and Demonstration Grant Program,,,,"Jun 21, 2004",,,,
00.124,Vocational Rehabilitation Services to Blind Persons,,,,"Jun 21, 2004",,,,
00.125,Vocational Student Loan Insurance,,,,"Jun 21, 2004",,,,
00.126,Water Pollution Control Programs,,,,"Jun 21, 2004",,,,
00.127,Work Experience Program,,,,"Jun 21, 2004",,,,
00.128,Work Study Grants,,,,"Jun 21, 2004",,,,
00.129,Education of Handicapped and Deaf_Blind Children,,,,"Jun 21, 2004",,,,
00.130,"Educational Research, Surveys, Demonstrations, and Dissemination",,,,"Jun 21, 2004",,,,
00.131,Educational Research Facilities,,,,"Jun 21, 2004",,,,
00.132,Higher Education Equipment,,,,"Jun 21, 2004",,,,
00.133,Regional Educational Research,,,,"Jun 21, 2004",,,,
00.134,International Organizations Recruitment,,,,"Jun 21, 2004",,,,
00.135,Comparative Education Services,,,,"Jun 21, 2004",,,,
00.136,Mental Retardation_Information and Coordination,,,,"Jun 21, 2004",,,,
00.137,Gallaudet College,,,,"Jun 21, 2004",,,,
00.138,Howard University,,,,"Jun 21, 2004",,,,
00.139,Model Secondary School for the Deaf,,,,"Jun 21, 2004",,,,
00.140,Public Broadcasting Corporation,,,,"Jun 21, 2004",,,,
00.141,Food and Drug_Advisory Opinions Survey,,,,"Jun 21, 2004",,,,
00.142,Food and Drug_Consumer Education,,,,"Jun 21, 2004",,,,
00.143,Food and Drug_Regulatory Activities,,,,"Jun 21, 2004",,,,
00.144,Food and Drug_Training for State and Local Officials,,,,"Jun 21, 2004",,,,
00.145,Food and Drug_Voluntary Compliance,,,,"Jun 21, 2004",,,,
00.146,Milk and Food_Consumer Protection,,,,"Jun 21, 2004",,,,
00.147,Health Facilities Consultation and Technical Assistance,,,,"Jun 21, 2004",,,,
00.148,Narcotic and Drug Abuse_Research and Training,,,,"Jun 21, 2004",,,,
00.149,Patient Care and Special Health Services,,,,"Jun 21, 2004",,,,
00.150,Alcoholism Prevention and Control,,,,"Jun 21, 2004",,,,
00.151,Applied Research and Training_Clinical Center,,,,"Jun 21, 2004",,,,
00.152,Health Education Facilities Construction,,,,"Jun 21, 2004",,,,
